ip,hostname,port,status,rtt_ms,timestamp,error
192.168.1.68,,80,closed,1013.65,2025-10-05T12:12:08.593313Z,
192.168.1.81,,80,closed,1008.69,2025-10-05T12:12:08.598726Z,
192.168.1.86,,80,closed,1006.54,2025-10-05T12:12:08.601071Z,
192.168.1.93,,80,closed,1003.8,2025-10-05T12:12:08.603953Z,
192.168.1.94,,80,closed,1003.46,2025-10-05T12:12:08.604302Z,
192.168.1.73,,80,closed,1012.39,2025-10-05T12:12:08.595528Z,
192.168.1.84,,80,closed,1007.39,2025-10-05T12:12:08.600039Z,
192.168.1.67,,80,closed,1014.96,2025-10-05T12:12:08.592830Z,
192.168.1.76,,80,closed,1011.11,2025-10-05T12:12:08.596913Z,
192.168.1.83,,80,closed,1008.43,2025-10-05T12:12:08.599597Z,
192.168.1.85,,80,closed,1007.57,2025-10-05T12:12:08.600536Z,
192.168.1.66,,80,closed,1016.76,2025-10-05T12:12:08.592425Z,
192.168.1.88,,80,closed,1005.61,2025-10-05T12:12:08.602075Z,
192.168.1.92,,80,closed,1005.35,2025-10-05T12:12:08.603655Z,
192.168.1.98,,80,closed,1003.07,2025-10-05T12:12:08.606182Z,
192.168.1.80,,80,closed,1010.8,2025-10-05T12:12:08.598451Z,
192.168.1.89,,80,closed,1004.95,2025-10-05T12:12:08.602418Z,
192.168.1.96,,80,closed,1003.86,2025-10-05T12:12:08.605187Z,
192.168.1.78,,80,closed,1011.35,2025-10-05T12:12:08.597810Z,
192.168.1.71,,80,closed,1014.46,2025-10-05T12:12:08.594690Z,
192.168.1.75,,80,closed,1011.55,2025-10-05T12:12:08.596495Z,
192.168.1.79,,80,closed,1013.83,2025-10-05T12:12:08.598143Z,
192.168.1.82,,80,closed,1008.84,2025-10-05T12:12:08.599198Z,
192.168.1.90,,80,closed,1010.32,2025-10-05T12:12:08.602717Z,
192.168.1.95,,80,closed,1004.25,2025-10-05T12:12:08.604693Z,
192.168.1.70,,80,closed,1016.26,2025-10-05T12:12:08.594246Z,
192.168.1.72,,80,closed,1012.38,2025-10-05T12:12:08.595047Z,
192.168.1.87,,80,closed,1010.96,2025-10-05T12:12:08.601560Z,
192.168.1.97,,80,closed,1004.78,2025-10-05T12:12:08.605683Z,
192.168.1.65,,80,closed,1018.73,2025-10-05T12:12:08.591815Z,
192.168.1.74,,80,closed,1011.97,2025-10-05T12:12:08.595996Z,
192.168.1.91,,80,closed,1005.71,2025-10-05T12:12:08.603147Z,
192.168.1.77,,80,closed,1010.02,2025-10-05T12:12:08.597422Z,
192.168.1.99,,80,closed,1014.0,2025-10-05T12:12:08.606768Z,
192.168.1.103,,80,closed,1005.01,2025-10-05T12:12:09.578012Z,
192.168.1.111,,80,closed,1002.54,2025-10-05T12:12:09.582009Z,
192.168.1.119,,80,closed,1000.49,2025-10-05T12:12:09.583757Z,
192.168.1.114,,80,closed,1002.25,2025-10-05T12:12:09.582665Z,
192.168.1.107,,80,closed,1003.9,2025-10-05T12:12:09.580155Z,
192.168.1.121,,80,closed,1001.44,2025-10-05T12:12:09.584101Z,
192.168.1.122,,80,closed,1000.92,2025-10-05T12:12:09.584338Z,
192.168.1.117,,80,closed,1003.83,2025-10-05T12:12:09.583433Z,
192.168.1.116,,80,closed,1003.02,2025-10-05T12:12:09.583025Z,
192.168.1.108,,80,closed,1005.46,2025-10-05T12:12:09.580568Z,
192.168.1.110,,80,closed,1003.08,2025-10-05T12:12:09.581415Z,
192.168.1.120,,80,closed,1002.65,2025-10-05T12:12:09.583876Z,
192.168.1.130,,80,closed,1001.0,2025-10-05T12:12:09.586484Z,
192.168.1.109,,80,closed,1006.75,2025-10-05T12:12:09.580940Z,
192.168.1.113,,80,closed,1004.46,2025-10-05T12:12:09.582358Z,
192.168.1.101,,80,closed,1006.46,2025-10-05T12:12:09.577602Z,
192.168.1.105,,80,closed,1008.18,2025-10-05T12:12:09.578701Z,
192.168.1.128,,80,closed,1002.06,2025-10-05T12:12:09.586070Z,
192.168.1.106,,80,closed,1008.42,2025-10-05T12:12:09.579352Z,
192.168.1.104,,80,closed,1005.17,2025-10-05T12:12:09.578293Z,
192.168.1.124,,80,closed,1003.79,2025-10-05T12:12:09.584628Z,
192.168.1.100,,80,closed,1005.11,2025-10-05T12:12:09.577365Z,
192.168.1.127,,80,closed,1003.6,2025-10-05T12:12:09.585505Z,
192.168.1.112,,80,closed,1003.77,2025-10-05T12:12:09.582228Z,
192.168.1.129,,80,closed,1015.06,2025-10-05T12:12:09.586217Z,
192.168.1.136,,80,closed,1007.56,2025-10-05T12:12:09.593926Z,
192.168.1.152,,80,closed,1004.72,2025-10-05T12:12:09.597094Z,
192.168.1.115,,80,closed,1014.72,2025-10-05T12:12:09.582812Z,
192.168.1.160,,80,closed,1000.98,2025-10-05T12:12:09.600454Z,
192.168.1.131,,80,closed,1002.42,2025-10-05T12:12:09.592585Z,
192.168.1.156,,80,closed,1002.93,2025-10-05T12:12:09.598898Z,
192.168.1.150,,80,closed,1006.61,2025-10-05T12:12:09.596732Z,
192.168.1.157,,80,closed,1003.44,2025-10-05T12:12:09.599422Z,
192.168.1.123,,80,closed,1018.24,2025-10-05T12:12:09.584448Z,
192.168.1.133,,80,closed,1011.03,2025-10-05T12:12:09.593092Z,
192.168.1.125,,80,closed,1017.54,2025-10-05T12:12:09.585081Z,
192.168.1.126,,80,closed,1014.69,2025-10-05T12:12:09.585306Z,
192.168.1.139,,80,closed,1009.91,2025-10-05T12:12:09.594726Z,
192.168.1.134,,80,closed,1008.38,2025-10-05T12:12:09.593318Z,
192.168.1.143,,80,closed,1005.64,2025-10-05T12:12:09.595604Z,
192.168.1.153,,80,closed,1006.0,2025-10-05T12:12:09.597399Z,
192.168.1.132,,80,closed,1004.17,2025-10-05T12:12:09.592852Z,
192.168.1.102,,80,closed,1019.64,2025-10-05T12:12:09.577799Z,
192.168.1.137,,80,closed,1012.27,2025-10-05T12:12:09.594244Z,
192.168.1.141,,80,closed,1004.17,2025-10-05T12:12:09.595301Z,
192.168.1.140,,80,closed,1007.51,2025-10-05T12:12:09.595064Z,
192.168.1.142,,80,closed,1007.94,2025-10-05T12:12:09.595432Z,
192.168.1.135,,80,closed,1012.66,2025-10-05T12:12:09.593613Z,
192.168.1.118,,80,closed,1020.46,2025-10-05T12:12:09.583637Z,
192.168.1.145,,80,closed,1005.04,2025-10-05T12:12:09.595858Z,
192.168.1.154,,80,closed,1009.6,2025-10-05T12:12:09.598172Z,
192.168.1.147,,80,closed,1007.28,2025-10-05T12:12:09.596084Z,
192.168.1.155,,80,closed,1008.47,2025-10-05T12:12:09.598606Z,
192.168.1.149,,80,closed,1005.13,2025-10-05T12:12:09.596503Z,
192.168.1.138,,80,closed,1007.69,2025-10-05T12:12:09.594440Z,
192.168.1.158,,80,closed,1008.76,2025-10-05T12:12:09.600060Z,
192.168.1.146,,80,closed,1005.58,2025-10-05T12:12:09.595910Z,
192.168.1.144,,80,closed,1015.77,2025-10-05T12:12:09.595783Z,
192.168.1.164,,80,closed,1015.28,2025-10-05T12:12:09.602261Z,
192.168.1.180,,80,closed,1006.17,2025-10-05T12:12:09.611480Z,
192.168.1.189,,80,closed,1004.54,2025-10-05T12:12:09.613463Z,
192.168.1.198,,80,closed,1000.98,2025-10-05T12:12:09.616955Z,
192.168.1.173,,80,closed,1009.64,2025-10-05T12:12:09.608569Z,
192.168.1.171,,80,closed,1008.47,2025-10-05T12:12:09.608451Z,
192.168.1.167,,80,closed,1009.04,2025-10-05T12:12:09.607822Z,
192.168.1.188,,80,closed,1005.27,2025-10-05T12:12:09.613295Z,
192.168.1.195,,80,closed,1003.84,2025-10-05T12:12:09.614756Z,
192.168.1.175,,80,closed,1009.96,2025-10-05T12:12:09.608833Z,
192.168.1.197,,80,closed,1002.31,2025-10-05T12:12:09.616569Z,
192.168.1.191,,80,closed,1002.33,2025-10-05T12:12:09.613789Z,
192.168.1.169,,80,closed,1003.29,2025-10-05T12:12:09.608099Z,
192.168.1.161,,80,closed,1017.32,2025-10-05T12:12:09.600560Z,
192.168.1.178,,80,closed,1007.24,2025-10-05T12:12:09.610495Z,
192.168.1.151,,80,closed,1017.41,2025-10-05T12:12:09.596855Z,
192.168.1.148,,80,closed,1017.91,2025-10-05T12:12:09.596399Z,
